index,date,time,utcdate,utctime,wx_desc,wx_code,wx_icon,temp_c,temp_f,feelslike_c,feelslike_f,winddir_deg,winddir_compass,windspd_mph,windspd_kmh,windspd_kts,windspd_ms,windgst_mph,windgst_kmh,windgst_kts,windgst_ms,cloud_low_pct,cloud_mid_pct,cloud_high_pct,cloudtotal_pct,precip_mm,precip_in,rain_mm,rain_in,snow_mm,snow_in,snow_accum_cm,snow_accum_in,prob_precip_pct,humid_pct,dewpoint_c,dewpoint_f,vis_km,vis_mi,slp_mb,slp_in,time_text
2186,13/12/2024,1100,13/12/2024,1500,Sunny skies,0,Sunny.gif,-4.3,24.2,-10,13.9,257,WSW,10,17,9,4.6,12,19,10,5.3,0,0,0,0,0,0,0,0,0,0,0,0,<1,65,-9.9,14.1,10,6.2,1038,30.74,11:00
2187,13/12/2024,1400,13/12/2024,1800,Sunny skies,0,Sunny.gif,-3.3,26,-8,17.5,244,WSW,8,13,7,3.6,9,15,8,4.1,0,0,5,5,0,0,0,0,0,0,0,0,<1,57,-10.5,13.1,10,6.2,1038,30.73,14:00
2188,13/12/2024,1700,13/12/2024,2100,Sunny skies,0,Sunny.gif,-3.3,26,-5.9,21.4,245,WSW,4,6,3,1.7,5,8,4,2.1,0,3,54,5,0,0,0,0,0,0,0,0,<1,60,-9.9,14.2,10,6.2,1038,30.75,17:00
2189,13/12/2024,2000,14/12/2024,0,Partly cloudy skies,1,PartlyCloudyNight.gif,-4.1,24.6,-4.8,23.3,76,ENE,2,3,2,0.8,3,5,3,1.3,0,44,92,47,0,0,0,0,0,0,0,0,<1,63,-10,13.9,10,6.2,1040,30.79,20:00
2190,13/12/2024,2300,14/12/2024,300,Overcast skies,3,Overcast.gif,-5.1,22.8,-9.1,15.6,88,E,6,9,5,2.5,10,17,9,4.6,0,97,76,100,0,0,0,0,0,0,0,0,<1,65,-10.6,12.9,10,6.2,1039,30.78,23:00
2191,14/12/2024,200,14/12/2024,600,Cloudy skies,2,Cloudy.gif,-3.7,25.3,-8.9,16,85,E,9,14,8,4,16,26,14,7.1,0,78,82,81,0,0,0,0,0,0,0,0,<1,72,-8,17.6,10,6.2,1038,30.75,02:00
2192,14/12/2024,500,14/12/2024,900,Cloudy skies,2,Cloudy.gif,-2.1,28.2,-7.9,17.8,83,E,13,20,11,5.6,20,32,17,8.9,43,100,65,86,0,0,0,0,0,0,0,0,<1,78,-5.4,22.3,10,6.2,1037,30.72,05:00
2193,14/12/2024,800,14/12/2024,1200,Overcast skies,3,Overcast.gif,-1.7,29,-8,17.6,80,E,15,25,13,6.9,23,37,20,10.3,24,93,32,100,0,0,0,0,0,0,0,0,<1,83,-4.2,24.4,10,6.2,1036,30.69,08:00
2194,14/12/2024,1100,14/12/2024,1500,Light drizzle,51,OccLightRain.gif,1.3,34.4,-4.6,23.8,84,E,18,28,15,7.9,20,33,18,9.1,14,100,100,100,0.3,0,0,0,0,0,0,0,57,84,-1.1,30,2,1.2,1035,30.65,11:00
2195,14/12/2024,1400,14/12/2024,1800,Light drizzle,51,OccLightRain.gif,2.8,37.1,-2.1,28.2,103,ESE,15,24,13,6.6,17,27,15,7.6,66,100,100,100,0.4,0,0,0,0,0,0,0,56,85,0.6,33.1,2,1.2,1033,30.58,14:00
2196,14/12/2024,1700,14/12/2024,2100,Light sleet,68,ModSleet.gif,3.7,38.7,-0.7,30.8,104,ESE,13,21,11,5.9,15,24,13,6.8,80,98,100,100,1,0,1,0,0,0,0,0,55,91,2.4,36.2,9,5.6,1031,30.53,17:00
2197,14/12/2024,2000,15/12/2024,0,Moderate rain,63,ModRain.gif,4.7,40.5,0.4,32.6,112,ESE,15,23,13,6.5,17,27,15,7.5,97,100,100,100,3.6,0.1,4,1,0,0,0,0,54,96,4.2,39.6,7,4.3,1029,30.48,20:00
2198,14/12/2024,2300,15/12/2024,300,Moderate rain,63,ModRain.gif,5.5,41.8,1.4,34.5,123,ESE,14,23,12,6.3,16,26,14,7.2,100,100,100,100,5,0.2,5,2,0,0,0,0,53,97,5.1,41.1,7,4.3,1027,30.42,23:00
2199,15/12/2024,200,15/12/2024,600,Moderate rain,63,ModRain.gif,2.8,37,-0.9,30.3,118,ESE,9,15,8,4.1,17,27,15,7.5,99,100,32,100,3.7,0.1,4,1,0,0,0,0,52,98,2.5,36.6,7,4.3,1026,30.37,02:00
2200,15/12/2024,500,15/12/2024,900,Moderate rain,63,ModRain.gif,2.5,36.5,-0.6,30.9,108,ESE,7,12,6,3.2,15,23,13,6.5,99,85,2,100,3.4,0.1,3,1,0,0,0,0,51,99,2.3,36.2,7,4.3,1025,30.36,05:00
2201,15/12/2024,800,15/12/2024,1200,Light drizzle,51,OccLightRain.gif,2.7,36.9,1.3,34.4,141,SE,3,5,3,1.5,7,12,6,3.2,100,95,17,100,0.5,0,0,0,0,0,0,0,50,98,2.4,36.4,2,1.2,1025,30.37,08:00
2202,15/12/2024,1100,15/12/2024,1500,Light drizzle,51,OccLightRain.gif,3.4,38.2,3.2,37.8,209,SSW,2,3,2,0.9,4,6,3,1.7,92,49,4,100,0.2,0,0,0,0,0,0,0,48,98,3.2,37.8,2,1.2,1027,30.4,11:00
2203,15/12/2024,1400,15/12/2024,1800,Fog,45,Fog.gif,3.9,39.1,4.2,39.5,212,SSW,2,3,1,0.7,3,5,3,1.3,95,46,0,100,0,0,0,0,0,0,0,0,<1,98,3.7,38.6,0,0,1026,30.37,14:00
2204,15/12/2024,1700,15/12/2024,2100,Fog,45,Fog.gif,3.9,39.1,6.3,43.3,305,NW,0,1,0,0.2,1,1,1,0.4,97,46,0,100,0,0,0,0,0,0,0,0,<1,98,3.7,38.6,0,0,1026,30.39,17:00
2205,15/12/2024,2000,16/12/2024,0,Fog,45,Fog.gif,3.6,38.4,2.2,35.9,96,E,4,6,3,1.6,7,11,6,3.1,100,45,0,100,0,0,0,0,0,0,0,0,<1,98,3.3,37.9,0,0,1026,30.4,20:00
