cut_month,num_product,disbursement_date,end_date,days_past_due,loan_term,amortization,loan_amount,interest_rate,installment_amount,outstanding_balance,agency_code,agency_name,product_code,product_name
202312,1003,16/02/2022,16/02/2025,0,36,30,8580,0.08,268.866,3582,30,Missisauga,2,General
202401,1003,16/02/2022,16/02/2025,0,36,30,8580,0.08,268.866,3337,30,Missisauga,2,General
202402,1003,16/02/2022,16/02/2025,0,36,30,8580,0.08,268.866,3090,30,Missisauga,2,General
202403,1003,16/02/2022,16/02/2025,0,36,30,8580,0.08,268.866,2842,30,Missisauga,2,General
202404,1003,16/02/2022,16/02/2025,0,36,30,8580,0.08,268.866,2592,30,Missisauga,2,General
202405,1003,16/02/2022,16/02/2025,0,36,30,8580,0.08,268.866,2341,30,Missisauga,2,General
202406,1003,16/02/2022,16/02/2025,0,36,30,8580,0.08,268.866,2087,30,Missisauga,2,General
202407,1003,16/02/2022,16/02/2025,0,36,30,8580,0.08,268.866,1832,30,Missisauga,2,General
202408,1003,16/02/2022,16/02/2025,0,36,30,8580,0.08,268.866,1576,30,Missisauga,2,General
202409,1003,16/02/2022,16/02/2025,0,36,30,8580,0.08,268.866,1317,30,Missisauga,2,General
202410,1003,16/02/2022,16/02/2025,0,36,30,8580,0.08,268.866,1057,30,Missisauga,2,General
202411,1003,16/02/2022,16/02/2025,0,36,30,8580,0.08,268.866,795,30,Missisauga,2,General
202412,1003,16/02/2022,16/02/2025,0,36,30,8580,0.08,268.866,532,30,Missisauga,2,General
202501,1003,16/02/2022,16/02/2025,0,36,30,8580,0.08,268.866,267,30,Missisauga,2,General
202502,1003,16/02/2022,16/02/2025,0,36,30,8580,0.08,268.866,0,30,Missisauga,2,General
202403,1004,30/03/2024,30/03/2029,0,60,30,5930,0.09,123.097,5930,10,Toronto,3,Taxes loan
202404,1004,30/03/2024,30/03/2029,0,60,30,5930,0.09,123.097,5851,10,Toronto,3,Taxes loan
202405,1004,30/03/2024,30/03/2029,0,60,30,5930,0.09,123.097,5772,10,Toronto,3,Taxes loan
202406,1004,30/03/2024,30/03/2029,0,60,30,5930,0.09,123.097,5692,10,Toronto,3,Taxes loan
202407,1004,30/03/2024,30/03/2029,0,60,30,5930,0.09,123.097,5611,10,Toronto,3,Taxes loan
202408,1004,30/03/2024,30/03/2029,0,60,30,5930,0.09,123.097,5530,10,Toronto,3,Taxes loan
202409,1004,30/03/2024,30/03/2029,0,60,30,5930,0.09,123.097,5449,10,Toronto,3,Taxes loan
202410,1004,30/03/2024,30/03/2029,0,60,30,5930,0.09,123.097,5367,10,Toronto,3,Taxes loan
202411,1004,30/03/2024,30/03/2029,0,60,30,5930,0.09,123.097,5284,10,Toronto,3,Taxes loan
202412,1004,30/03/2024,30/03/2029,0,60,30,5930,0.09,123.097,5200,10,Toronto,3,Taxes loan
202501,1004,30/03/2024,30/03/2029,0,60,30,5930,0.09,123.097,5116,10,Toronto,3,Taxes loan
202502,1004,30/03/2024,30/03/2029,0,60,30,5930,0.09,123.097,5031,10,Toronto,3,Taxes loan
202503,1004,30/03/2024,30/03/2029,0,60,30,5930,0.09,123.097,4946,10,Toronto,3,Taxes loan
202504,1004,30/03/2024,30/03/2029,0,60,30,5930,0.09,123.097,4860,10,Toronto,3,Taxes loan
202404,1005,16/04/2024,16/04/2029,0,60,30,8880,0.08,180.0544,8880,30,Missisauga,2,General
202405,1005,16/04/2024,16/04/2029,0,60,30,8880,0.08,180.0544,8759,30,Missisauga,2,General
202406,1005,16/04/2024,16/04/2029,0,60,30,8880,0.08,180.0544,8637,30,Missisauga,2,General
202407,1005,16/04/2024,16/04/2029,0,60,30,8880,0.08,180.0544,8515,30,Missisauga,2,General
202408,1005,16/04/2024,16/04/2029,0,60,30,8880,0.08,180.0544,8391,30,Missisauga,2,General
202409,1005,16/04/2024,16/04/2029,0,60,30,8880,0.08,180.0544,8267,30,Missisauga,2,General
202410,1005,16/04/2024,16/04/2029,0,60,30,8880,0.08,180.0544,8142,30,Missisauga,2,General
202411,1005,16/04/2024,16/04/2029,0,60,30,8880,0.08,180.0544,8016,30,Missisauga,2,General
202412,1005,16/04/2024,16/04/2029,0,60,30,8880,0.08,180.0544,7890,30,Missisauga,2,General
202501,1005,16/04/2024,16/04/2029,0,60,30,8880,0.08,180.0544,7762,30,Missisauga,2,General
202502,1005,16/04/2024,16/04/2029,0,60,30,8880,0.08,180.0544,7634,30,Missisauga,2,General
202503,1005,16/04/2024,16/04/2029,0,60,30,8880,0.08,180.0544,7505,30,Missisauga,2,General
202504,1005,16/04/2024,16/04/2029,0,60,30,8880,0.08,180.0544,7375,30,Missisauga,2,General
202501,1006,25/01/2025,25/01/2027,0,24,30,5130,0.05,225.0602,5130,50,Whitby,1,Education
202502,1006,25/01/2025,25/01/2027,0,24,30,5130,0.05,225.0602,4926,50,Whitby,1,Education
202503,1006,25/01/2025,25/01/2027,0,24,30,5130,0.05,225.0602,4721,50,Whitby,1,Education
202504,1006,25/01/2025,25/01/2027,0,24,30,5130,0.05,225.0602,4516,50,Whitby,1,Education
202310,1007,06/10/2023,06/10/2027,0,48,30,2500,0.1,63.4065,2500,20,North York,4,Travel
202311,1007,06/10/2023,06/10/2027,0,48,30,2500,0.1,63.4065,2457,20,North York,4,Travel
202312,1007,06/10/2023,06/10/2027,0,48,30,2500,0.1,63.4065,2414,20,North York,4,Travel
202401,1007,06/10/2023,06/10/2027,0,48,30,2500,0.1,63.4065,2371,20,North York,4,Travel
202402,1007,06/10/2023,06/10/2027,0,48,30,2500,0.1,63.4065,2327,20,North York,4,Travel
202403,1007,06/10/2023,06/10/2027,0,48,30,2500,0.1,63.4065,2283,20,North York,4,Travel
202404,1007,06/10/2023,06/10/2027,0,48,30,2500,0.1,63.4065,2239,20,North York,4,Travel
202405,1007,06/10/2023,06/10/2027,0,48,30,2500,0.1,63.4065,2194,20,North York,4,Travel
202406,1007,06/10/2023,06/10/2027,0,48,30,2500,0.1,63.4065,2149,20,North York,4,Travel
202407,1007,06/10/2023,06/10/2027,0,48,30,2500,0.1,63.4065,2103,20,North York,4,Travel
202408,1007,06/10/2023,06/10/2027,0,48,30,2500,0.1,63.4065,2057,20,North York,4,Travel
202409,1007,06/10/2023,06/10/2027,0,48,30,2500,0.1,63.4065,2011,20,North York,4,Travel
202410,1007,06/10/2023,06/10/2027,0,48,30,2500,0.1,63.4065,1965,20,North York,4,Travel
202411,1007,06/10/2023,06/10/2027,0,48,30,2500,0.1,63.4065,1918,20,North York,4,Travel
202412,1007,06/10/2023,06/10/2027,0,48,30,2500,0.1,63.4065,1870,20,North York,4,Travel
202501,1007,06/10/2023,06/10/2027,0,48,30,2500,0.1,63.4065,1822,20,North York,4,Travel
202502,1007,06/10/2023,06/10/2027,0,48,30,2500,0.1,63.4065,1774,20,North York,4,Travel
202503,1007,06/10/2023,06/10/2027,0,48,30,2500,0.1,63.4065,1725,20,North York,4,Travel
202504,1007,06/10/2023,06/10/2027,0,48,30,2500,0.1,63.4065,1676,20,North York,4,Travel
202407,1008,27/07/2024,27/07/2025,0,12,30,3010,0.08,261.8352,3010,10,Toronto,2,General
202408,1008,27/07/2024,27/07/2025,0,12,30,3010,0.08,261.8352,2768,10,Toronto,2,General
202409,1008,27/07/2024,27/07/2025,0,12,30,3010,0.08,261.8352,2524,10,Toronto,2,General
202410,1008,27/07/2024,27/07/2025,0,12,30,3010,0.08,261.8352,2279,10,Toronto,2,General
202411,1008,27/07/2024,27/07/2025,0,12,30,3010,0.08,261.8352,2033,10,Toronto,2,General
202412,1008,27/07/2024,27/07/2025,0,12,30,3010,0.08,261.8352,1784,10,Toronto,2,General
202501,1008,27/07/2024,27/07/2025,0,12,30,3010,0.08,261.8352,1534,10,Toronto,2,General
202502,1008,27/07/2024,27/07/2025,0,12,30,3010,0.08,261.8352,1283,10,Toronto,2,General
202503,1008,27/07/2024,27/07/2025,0,12,30,3010,0.08,261.8352,1030,10,Toronto,2,General
202504,1008,27/07/2024,27/07/2025,0,12,30,3010,0.08,261.8352,775,10,Toronto,2,General
202411,1009,12/11/2024,12/11/2029,0,60,30,4150,0.1,88.1752,4150,50,Whitby,4,Travel
202412,1009,12/11/2024,12/11/2029,0,60,30,4150,0.1,88.1752,4096,50,Whitby,4,Travel
202501,1009,12/11/2024,12/11/2029,0,60,30,4150,0.1,88.1752,4042,50,Whitby,4,Travel
202502,1009,12/11/2024,12/11/2029,0,60,30,4150,0.1,88.1752,3987,50,Whitby,4,Travel
202503,1009,12/11/2024,12/11/2029,0,60,30,4150,0.1,88.1752,3932,50,Whitby,4,Travel
202504,1009,12/11/2024,12/11/2029,0,60,30,4150,0.1,88.1752,3877,50,Whitby,4,Travel
202412,1010,27/12/2024,27/12/2029,0,60,30,7730,0.09,160.4621,7730,30,Missisauga,3,Taxes loan
202501,1010,27/12/2024,27/12/2029,0,60,30,7730,0.09,160.4621,7627,30,Missisauga,3,Taxes loan
202502,1010,27/12/2024,27/12/2029,0,60,30,7730,0.09,160.4621,7524,30,Missisauga,3,Taxes loan
202503,1010,27/12/2024,27/12/2029,0,60,30,7730,0.09,160.4621,7420,30,Missisauga,3,Taxes loan
202504,1010,27/12/2024,27/12/2029,0,60,30,7730,0.09,160.4621,7315,30,Missisauga,3,Taxes loan
202406,1011,10/06/2024,10/06/2027,0,36,30,7960,0.05,238.5683,7960,10,Toronto,1,Education
202407,1011,10/06/2024,10/06/2027,0,36,30,7960,0.05,238.5683,7754,10,Toronto,1,Education
202408,1011,10/06/2024,10/06/2027,0,36,30,7960,0.05,238.5683,7548,10,Toronto,1,Education
202409,1011,10/06/2024,10/06/2027,0,36,30,7960,0.05,238.5683,7341,10,Toronto,1,Education
202410,1011,10/06/2024,10/06/2027,0,36,30,7960,0.05,238.5683,7133,10,Toronto,1,Education
202411,1011,10/06/2024,10/06/2027,0,36,30,7960,0.05,238.5683,6924,10,Toronto,1,Education
202412,1011,10/06/2024,10/06/2027,0,36,30,7960,0.05,238.5683,6714,10,Toronto,1,Education
202501,1011,10/06/2024,10/06/2027,0,36,30,7960,0.05,238.5683,6504,10,Toronto,1,Education
202502,1011,10/06/2024,10/06/2027,0,36,30,7960,0.05,238.5683,6292,10,Toronto,1,Education
202503,1011,10/06/2024,10/06/2027,0,36,30,7960,0.05,238.5683,6080,10,Toronto,1,Education
202504,1011,10/06/2024,10/06/2027,0,36,30,7960,0.05,238.5683,5867,10,Toronto,1,Education
202402,1012,01/02/2024,01/02/2028,0,48,30,9610,0.08,234.6082,9610,30,Missisauga,2,General
202403,1012,01/02/2024,01/02/2028,0,48,30,9610,0.08,234.6082,9439,30,Missisauga,2,General
202404,1012,01/02/2024,01/02/2028,0,48,30,9610,0.08,234.6082,9267,30,Missisauga,2,General
202405,1012,01/02/2024,01/02/2028,0,48,30,9610,0.08,234.6082,9094,30,Missisauga,2,General
202406,1012,01/02/2024,01/02/2028,0,48,30,9610,0.08,234.6082,8920,30,Missisauga,2,General
202407,1012,01/02/2024,01/02/2028,0,48,30,9610,0.08,234.6082,8745,30,Missisauga,2,General
202408,1012,01/02/2024,01/02/2028,0,48,30,9610,0.08,234.6082,8569,30,Missisauga,2,General
202409,1012,01/02/2024,01/02/2028,0,48,30,9610,0.08,234.6082,8392,30,Missisauga,2,General
202410,1012,01/02/2024,01/02/2028,0,48,30,9610,0.08,234.6082,8213,30,Missisauga,2,General
202411,1012,01/02/2024,01/02/2028,0,48,30,9610,0.08,234.6082,8033,30,Missisauga,2,General
202412,1012,01/02/2024,01/02/2028,0,48,30,9610,0.08,234.6082,7852,30,Missisauga,2,General
202501,1012,01/02/2024,01/02/2028,0,48,30,9610,0.08,234.6082,7670,30,Missisauga,2,General
202502,1012,01/02/2024,01/02/2028,0,48,30,9610,0.08,234.6082,7486,30,Missisauga,2,General
202503,1012,01/02/2024,01/02/2028,0,48,30,9610,0.08,234.6082,7302,30,Missisauga,2,General
202504,1012,01/02/2024,01/02/2028,0,48,30,9610,0.08,234.6082,7116,30,Missisauga,2,General
202306,1013,04/06/2023,04/06/2025,0,24,30,5980,0.08,270.4592,5980,50,Whitby,2,General
202307,1013,04/06/2023,04/06/2025,0,24,30,5980,0.08,270.4592,5749,50,Whitby,2,General
202308,1013,04/06/2023,04/06/2025,0,24,30,5980,0.08,270.4592,5517,50,Whitby,2,General
202309,1013,04/06/2023,04/06/2025,0,24,30,5980,0.08,270.4592,5283,50,Whitby,2,General
202310,1013,04/06/2023,04/06/2025,0,24,30,5980,0.08,270.4592,5048,50,Whitby,2,General
202311,1013,04/06/2023,04/06/2025,0,24,30,5980,0.08,270.4592,4811,50,Whitby,2,General
202312,1013,04/06/2023,04/06/2025,0,24,30,5980,0.08,270.4592,4573,50,Whitby,2,General
202401,1013,04/06/2023,04/06/2025,0,24,30,5980,0.08,270.4592,4333,50,Whitby,2,General
202402,1013,04/06/2023,04/06/2025,0,24,30,5980,0.08,270.4592,4091,50,Whitby,2,General
202403,1013,04/06/2023,04/06/2025,0,24,30,5980,0.08,270.4592,3848,50,Whitby,2,General
202404,1013,04/06/2023,04/06/2025,0,24,30,5980,0.08,270.4592,3603,50,Whitby,2,General
202405,1013,04/06/2023,04/06/2025,0,24,30,5980,0.08,270.4592,3357,50,Whitby,2,General
202406,1013,04/06/2023,04/06/2025,0,24,30,5980,0.08,270.4592,3109,50,Whitby,2,General
202407,1013,04/06/2023,04/06/2025,0,24,30,5980,0.08,270.4592,2859,50,Whitby,2,General
202408,1013,04/06/2023,04/06/2025,0,24,30,5980,0.08,270.4592,2608,50,Whitby,2,General
202409,1013,04/06/2023,04/06/2025,0,24,30,5980,0.08,270.4592,2354,50,Whitby,2,General
202410,1013,04/06/2023,04/06/2025,0,24,30,5980,0.08,270.4592,2100,50,Whitby,2,General
202411,1013,04/06/2023,04/06/2025,0,24,30,5980,0.08,270.4592,1843,50,Whitby,2,General
202412,1013,04/06/2023,04/06/2025,0,24,30,5980,0.08,270.4592,1585,50,Whitby,2,General
202501,1013,04/06/2023,04/06/2025,0,24,30,5980,0.08,270.4592,1325,50,Whitby,2,General
202502,1013,04/06/2023,04/06/2025,0,24,30,5980,0.08,270.4592,1064,50,Whitby,2,General
202503,1013,04/06/2023,04/06/2025,0,24,30,5980,0.08,270.4592,800,50,Whitby,2,General
202504,1013,04/06/2023,04/06/2025,0,24,30,5980,0.08,270.4592,535,50,Whitby,2,General
202210,1014,09/10/2022,09/10/2025,0,36,30,4060,0.08,127.2256,4060,10,Toronto,2,General
202211,1014,09/10/2022,09/10/2025,0,36,30,4060,0.08,127.2256,3959,10,Toronto,2,General
202212,1014,09/10/2022,09/10/2025,0,36,30,4060,0.08,127.2256,3859,10,Toronto,2,General
202301,1014,09/10/2022,09/10/2025,0,36,30,4060,0.08,127.2256,3757,10,Toronto,2,General
202302,1014,09/10/2022,09/10/2025,0,36,30,4060,0.08,127.2256,3655,10,Toronto,2,General
202303,1014,09/10/2022,09/10/2025,0,36,30,4060,0.08,127.2256,3552,10,Toronto,2,General
202304,1014,09/10/2022,09/10/2025,0,36,30,4060,0.08,127.2256,3448,10,Toronto,2,General
202305,1014,09/10/2022,09/10/2025,0,36,30,4060,0.08,127.2256,3344,10,Toronto,2,General
202306,1014,09/10/2022,09/10/2025,0,36,30,4060,0.08,127.2256,3239,10,Toronto,2,General
202307,1014,09/10/2022,09/10/2025,0,36,30,4060,0.08,127.2256,3134,10,Toronto,2,General
202308,1014,09/10/2022,09/10/2025,0,36,30,4060,0.08,127.2256,3027,10,Toronto,2,General
202309,1014,09/10/2022,09/10/2025,0,36,30,4060,0.08,127.2256,2920,10,Toronto,2,General
202310,1014,09/10/2022,09/10/2025,0,36,30,4060,0.08,127.2256,2813,10,Toronto,2,General
202311,1014,09/10/2022,09/10/2025,0,36,30,4060,0.08,127.2256,2704,10,Toronto,2,General
202312,1014,09/10/2022,09/10/2025,0,36,30,4060,0.08,127.2256,2595,10,Toronto,2,General
202401,1014,09/10/2022,09/10/2025,0,36,30,4060,0.08,127.2256,2485,10,Toronto,2,General
202402,1014,09/10/2022,09/10/2025,0,36,30,4060,0.08,127.2256,2374,10,Toronto,2,General
202403,1014,09/10/2022,09/10/2025,0,36,30,4060,0.08,127.2256,2263,10,Toronto,2,General
202404,1014,09/10/2022,09/10/2025,0,36,30,4060,0.08,127.2256,2151,10,Toronto,2,General
202405,1014,09/10/2022,09/10/2025,0,36,30,4060,0.08,127.2256,2038,10,Toronto,2,General
202406,1014,09/10/2022,09/10/2025,0,36,30,4060,0.08,127.2256,1924,10,Toronto,2,General
202407,1014,09/10/2022,09/10/2025,0,36,30,4060,0.08,127.2256,1810,10,Toronto,2,General
202408,1014,09/10/2022,09/10/2025,0,36,30,4060,0.08,127.2256,1695,10,Toronto,2,General
202409,1014,09/10/2022,09/10/2025,0,36,30,4060,0.08,127.2256,1579,10,Toronto,2,General
202410,1014,09/10/2022,09/10/2025,0,36,30,4060,0.08,127.2256,1462,10,Toronto,2,General
202411,1014,09/10/2022,09/10/2025,0,36,30,4060,0.08,127.2256,1345,10,Toronto,2,General
202412,1014,09/10/2022,09/10/2025,0,36,30,4060,0.08,127.2256,1226,10,Toronto,2,General
202501,1014,09/10/2022,09/10/2025,0,36,30,4060,0.08,127.2256,1107,10,Toronto,2,General
202502,1014,09/10/2022,09/10/2025,0,36,30,4060,0.08,127.2256,987,10,Toronto,2,General
