cut_month,disbursement_month,loan_term,interest_rate,agency_code,agency_name,product_code,product_name,credit_status,loan_amount,loan_amount_count,outstanding_balance,count_records
202202,202201,60,0.05,30,Missisauga,1,Education,Excellent,0,0,11428,2
202202,202201,60,0.08,20,North York,2,General,Excellent,0,0,670,1
202202,202201,60,0.08,20,North York,2,General,Regular,0,0,6740,1
202202,202201,60,0.1,20,North York,4,Travel,Excellent,0,0,6573,1
202202,202202,12,0.05,40,Pickering,1,Education,Excellent,1530,1,1530,1
202202,202202,12,0.08,30,Missisauga,2,General,Excellent,7250,1,7250,1
202202,202202,12,0.08,40,Pickering,2,General,Excellent,9500,1,9500,1
202202,202202,24,0.05,10,Toronto,1,Education,Excellent,5160,1,5160,1
202202,202202,24,0.05,20,North York,1,Education,Excellent,2870,2,2870,2
202202,202202,24,0.05,40,Pickering,1,Education,Excellent,6750,1,6750,1
202202,202202,24,0.08,30,Missisauga,2,General,Excellent,1250,1,1250,1
202202,202202,24,0.08,40,Pickering,2,General,Excellent,3920,1,3920,1
202202,202202,24,0.08,50,Whitby,2,General,Excellent,6220,2,6220,2
202202,202202,24,0.09,40,Pickering,3,Taxes loan,Excellent,4470,1,4470,1
202202,202202,24,0.09,50,Whitby,3,Taxes loan,Excellent,7140,1,7140,1
202202,202202,36,0.08,20,North York,2,General,Excellent,7250,1,7250,1
202202,202202,36,0.09,20,North York,3,Taxes loan,Excellent,5800,1,5800,1
202202,202202,48,0.05,20,North York,1,Education,Excellent,2610,1,2610,1
202202,202202,48,0.05,30,Missisauga,1,Education,Excellent,1390,1,1390,1
202202,202202,48,0.09,20,North York,3,Taxes loan,Excellent,3260,1,3260,1
202202,202202,48,0.1,10,Toronto,4,Travel,Excellent,6680,1,6680,1
202202,202202,60,0.05,10,Toronto,1,Education,Excellent,4070,1,4070,1
202202,202202,60,0.08,30,Missisauga,2,General,Excellent,2190,1,2190,1
202202,202202,60,0.08,40,Pickering,2,General,Excellent,6580,1,6580,1
202202,202202,60,0.09,40,Pickering,3,Taxes loan,Excellent,2490,1,2490,1
202202,202202,60,0.09,50,Whitby,3,Taxes loan,Excellent,4410,1,4410,1
202203,202201,12,0.08,10,Toronto,2,General,Excellent,0,0,1803,1
202203,202201,12,0.09,40,Pickering,3,Taxes loan,Excellent,0,0,5221,1
202203,202201,12,0.1,40,Pickering,4,Travel,Excellent,0,0,7586,1
202203,202201,24,0.05,20,North York,1,Education,Excellent,0,0,2954,1
202203,202201,24,0.05,30,Missisauga,1,Education,Excellent,0,0,6986,1
202203,202201,24,0.08,30,Missisauga,2,General,Excellent,0,0,4954,1
202203,202201,24,0.08,40,Pickering,2,General,Excellent,0,0,7962,1
202203,202201,24,0.1,10,Toronto,4,Travel,Excellent,0,0,4084,1
202203,202201,36,0.08,10,Toronto,2,General,Excellent,0,0,7917,1
202203,202201,36,0.08,30,Missisauga,2,General,Excellent,0,0,655,1
202203,202201,36,0.09,50,Whitby,3,Taxes loan,Excellent,0,0,732,1
202203,202201,36,0.1,10,Toronto,4,Travel,Excellent,0,0,6158,2
202203,202201,48,0.05,40,Pickering,1,Education,Doubtful 31-40,0,0,5980,1
202203,202201,48,0.05,40,Pickering,1,Education,Excellent,0,0,3338,1
202203,202201,48,0.05,50,Whitby,1,Education,Excellent,0,0,1780,1
202203,202201,48,0.08,20,North York,2,General,Excellent,0,0,1060,1
202203,202201,48,0.08,30,Missisauga,2,General,Excellent,0,0,8341,2
202203,202201,48,0.09,10,Toronto,3,Taxes loan,Excellent,0,0,3551,1
202203,202201,48,0.1,50,Whitby,4,Travel,Excellent,0,0,4433,1
202203,202201,60,0.05,10,Toronto,1,Education,Excellent,0,0,6813,1
202203,202201,60,0.05,20,North York,1,Education,Excellent,0,0,8239,1
202203,202201,60,0.05,30,Missisauga,1,Education,Excellent,0,0,11257,2
202203,202201,60,0.08,20,North York,2,General,Doubtful 31-40,0,0,6740,1
202203,202201,60,0.08,20,North York,2,General,Excellent,0,0,661,1
202203,202201,60,0.1,20,North York,4,Travel,Excellent,0,0,6487,1
202203,202202,12,0.05,40,Pickering,1,Education,Excellent,0,0,1405,1
202203,202202,12,0.08,30,Missisauga,2,General,Excellent,0,0,6667,1
202203,202202,12,0.08,40,Pickering,2,General,Excellent,0,0,8736,1
202203,202202,24,0.05,10,Toronto,1,Education,Excellent,0,0,4955,1
202203,202202,24,0.05,20,North York,1,Education,Excellent,0,0,2755,2
202203,202202,24,0.05,40,Pickering,1,Education,Excellent,0,0,6481,1
202203,202202,24,0.08,30,Missisauga,2,General,Excellent,0,0,1201,1
202203,202202,24,0.08,40,Pickering,2,General,Excellent,0,0,3768,1
202203,202202,24,0.08,50,Whitby,2,General,Excellent,0,0,5980,2
202203,202202,24,0.09,40,Pickering,3,Taxes loan,Excellent,0,0,4299,1
202203,202202,24,0.09,50,Whitby,3,Taxes loan,Excellent,0,0,6867,1
202203,202202,36,0.08,20,North York,2,General,Excellent,0,0,7071,1
202203,202202,36,0.09,20,North York,3,Taxes loan,Excellent,0,0,5659,1
202203,202202,48,0.05,20,North York,1,Education,Excellent,0,0,2560,1
202203,202202,48,0.05,30,Missisauga,1,Education,Excellent,0,0,1363,1
202203,202202,48,0.09,20,North York,3,Taxes loan,Excellent,0,0,3203,1
202203,202202,48,0.1,10,Toronto,4,Travel,Excellent,0,0,6566,1
202203,202202,60,0.05,10,Toronto,1,Education,Excellent,0,0,4010,1
202203,202202,60,0.08,30,Missisauga,2,General,Excellent,0,0,2160,1
202203,202202,60,0.08,40,Pickering,2,General,Excellent,0,0,6490,1
202203,202202,60,0.09,40,Pickering,3,Taxes loan,Excellent,0,0,2456,1
202203,202202,60,0.09,50,Whitby,3,Taxes loan,Excellent,0,0,4351,1
202203,202203,12,0.08,10,Toronto,2,General,Excellent,6030,1,6030,1
202203,202203,12,0.08,20,North York,2,General,Excellent,2420,1,2420,1
202203,202203,12,0.08,30,Missisauga,2,General,Excellent,11340,2,11340,2
202203,202203,12,0.08,50,Whitby,2,General,Excellent,8390,1,8390,1
202203,202203,12,0.09,10,Toronto,3,Taxes loan,Excellent,8160,1,8160,1
202203,202203,12,0.09,30,Missisauga,3,Taxes loan,Excellent,3930,1,3930,1
202203,202203,24,0.05,20,North York,1,Education,Excellent,10850,2,10850,2
202203,202203,24,0.05,30,Missisauga,1,Education,Excellent,5470,1,5470,1
202203,202203,24,0.05,40,Pickering,1,Education,Excellent,1880,1,1880,1
202203,202203,24,0.08,10,Toronto,2,General,Excellent,6460,1,6460,1
202203,202203,24,0.08,20,North York,2,General,Excellent,14480,2,14480,2
202203,202203,24,0.08,40,Pickering,2,General,Excellent,12990,2,12990,2
202203,202203,24,0.09,20,North York,3,Taxes loan,Excellent,7970,1,7970,1
202203,202203,24,0.09,50,Whitby,3,Taxes loan,Excellent,20380,3,20380,3
202203,202203,36,0.05,20,North York,1,Education,Excellent,7250,1,7250,1
202203,202203,36,0.05,50,Whitby,1,Education,Excellent,7500,1,7500,1
202203,202203,36,0.09,10,Toronto,3,Taxes loan,Excellent,4950,1,4950,1
202203,202203,36,0.09,30,Missisauga,3,Taxes loan,Excellent,12140,2,12140,2
202203,202203,48,0.05,30,Missisauga,1,Education,Excellent,1570,1,1570,1
202203,202203,48,0.08,40,Pickering,2,General,Excellent,2670,1,2670,1
202203,202203,48,0.09,10,Toronto,3,Taxes loan,Excellent,1680,1,1680,1
202203,202203,48,0.09,20,North York,3,Taxes loan,Excellent,4460,1,4460,1
202203,202203,60,0.08,20,North York,2,General,Excellent,5440,1,5440,1
202203,202203,60,0.08,30,Missisauga,2,General,Excellent,8570,3,8570,3
202203,202203,60,0.09,10,Toronto,3,Taxes loan,Excellent,9880,1,9880,1
202203,202203,60,0.1,10,Toronto,4,Travel,Excellent,3650,1,3650,1
202203,202203,60,0.1,40,Pickering,4,Travel,Excellent,9960,1,9960,1
202204,202201,12,0.08,10,Toronto,2,General,Excellent,0,0,1628,1
202204,202201,12,0.09,40,Pickering,3,Taxes loan,Excellent,0,0,4716,1
202204,202201,12,0.1,40,Pickering,4,Travel,Excellent,0,0,6856,1
202204,202201,24,0.05,20,North York,1,Education,Excellent,0,0,2826,1
202204,202201,24,0.05,30,Missisauga,1,Education,Excellent,0,0,6682,1
202204,202201,24,0.08,30,Missisauga,2,General,Excellent,0,0,4744,1
202204,202201,24,0.08,40,Pickering,2,General,Excellent,0,0,7624,1
202204,202201,24,0.1,10,Toronto,4,Travel,Excellent,0,0,3914,1
202204,202201,36,0.08,10,Toronto,2,General,Excellent,0,0,7709,1
202204,202201,36,0.08,30,Missisauga,2,General,Excellent,0,0,638,1
202204,202201,36,0.09,50,Whitby,3,Taxes loan,Excellent,0,0,713,1
202204,202201,36,0.1,10,Toronto,4,Travel,Excellent,0,0,6000,2
202204,202201,48,0.05,40,Pickering,1,Education,Bad debt,0,0,5980,1
202204,202201,48,0.05,40,Pickering,1,Education,Excellent,0,0,3272,1
202204,202201,48,0.05,50,Whitby,1,Education,Excellent,0,0,1744,1
202204,202201,48,0.08,20,North York,2,General,Excellent,0,0,1041,1
202204,202201,48,0.08,30,Missisauga,2,General,Excellent,0,0,8186,2
202204,202201,48,0.09,10,Toronto,3,Taxes loan,Excellent,0,0,3486,1
202204,202201,48,0.1,50,Whitby,4,Travel,Excellent,0,0,4353,1
202204,202201,60,0.05,10,Toronto,1,Education,Excellent,0,0,6709,1
202204,202201,60,0.05,20,North York,1,Education,Excellent,0,0,8113,1
202204,202201,60,0.05,30,Missisauga,1,Education,Excellent,0,0,11085,2
202204,202201,60,0.08,20,North York,2,General,Bad debt,0,0,6740,1
202204,202201,60,0.08,20,North York,2,General,Excellent,0,0,652,1
202204,202201,60,0.1,20,North York,4,Travel,Excellent,0,0,6399,1
202204,202202,12,0.05,40,Pickering,1,Education,Excellent,0,0,1280,1
202204,202202,12,0.08,30,Missisauga,2,General,Excellent,0,0,6081,1
202204,202202,12,0.08,40,Pickering,2,General,Excellent,0,0,7968,1
202204,202202,24,0.05,10,Toronto,1,Education,Excellent,0,0,4749,1
202204,202202,24,0.05,20,North York,1,Education,Excellent,0,0,2641,2
202204,202202,24,0.05,40,Pickering,1,Education,Excellent,0,0,6212,1
202204,202202,24,0.08,30,Missisauga,2,General,Excellent,0,0,1153,1
202204,202202,24,0.08,40,Pickering,2,General,Excellent,0,0,3616,1
202204,202202,24,0.08,50,Whitby,2,General,Excellent,0,0,1097,1
202204,202202,24,0.08,50,Whitby,2,General,Regular,0,0,4836,1
202204,202202,24,0.09,40,Pickering,3,Taxes loan,Excellent,0,0,4127,1
202204,202202,24,0.09,50,Whitby,3,Taxes loan,Excellent,0,0,6592,1
202204,202202,36,0.08,20,North York,2,General,Excellent,0,0,6891,1
202204,202202,36,0.09,20,North York,3,Taxes loan,Excellent,0,0,5517,1
202204,202202,48,0.05,20,North York,1,Education,Excellent,0,0,2511,1
202204,202202,48,0.05,30,Missisauga,1,Education,Excellent,0,0,1337,1
202204,202202,48,0.09,20,North York,3,Taxes loan,Excellent,0,0,3146,1
202204,202202,48,0.1,10,Toronto,4,Travel,Excellent,0,0,6451,1
202204,202202,60,0.05,10,Toronto,1,Education,Excellent,0,0,3950,1
202204,202202,60,0.08,30,Missisauga,2,General,Excellent,0,0,2130,1
202204,202202,60,0.08,40,Pickering,2,General,Excellent,0,0,6400,1
202204,202202,60,0.09,40,Pickering,3,Taxes loan,Excellent,0,0,2423,1
202204,202202,60,0.09,50,Whitby,3,Taxes loan,Excellent,0,0,4292,1
202204,202203,12,0.08,10,Toronto,2,General,Excellent,0,0,5545,1
202204,202203,12,0.08,20,North York,2,General,Regular,0,0,2420,1
202204,202203,12,0.08,30,Missisauga,2,General,Excellent,0,0,7946,1
202204,202203,12,0.08,30,Missisauga,2,General,Regular,0,0,2700,1
202204,202203,12,0.08,50,Whitby,2,General,Excellent,0,0,7716,1
202204,202203,12,0.09,10,Toronto,3,Taxes loan,Excellent,0,0,7507,1
202204,202203,12,0.09,30,Missisauga,3,Taxes loan,Regular,0,0,3930,1
202204,202203,24,0.05,20,North York,1,Education,Excellent,0,0,10418,2
202204,202203,24,0.05,30,Missisauga,1,Education,Excellent,0,0,5252,1
202204,202203,24,0.05,40,Pickering,1,Education,Excellent,0,0,1805,1
202204,202203,24,0.08,10,Toronto,2,General,Excellent,0,0,6210,1
202204,202203,24,0.08,20,North York,2,General,Excellent,0,0,13921,2
202204,202203,24,0.08,40,Pickering,2,General,Excellent,0,0,12488,2
202204,202203,24,0.09,20,North York,3,Taxes loan,Excellent,0,0,7665,1
202204,202203,24,0.09,50,Whitby,3,Taxes loan,Excellent,0,0,19600,3
202204,202203,36,0.05,20,North York,1,Education,Regular,0,0,7250,1
202204,202203,36,0.05,50,Whitby,1,Education,Excellent,0,0,7306,1
202204,202203,36,0.09,10,Toronto,3,Taxes loan,Excellent,0,0,4829,1
202204,202203,36,0.09,30,Missisauga,3,Taxes loan,Excellent,0,0,7815,1
202204,202203,36,0.09,30,Missisauga,3,Taxes loan,Regular,0,0,4130,1
202204,202203,48,0.05,30,Missisauga,1,Education,Excellent,0,0,1540,1
202204,202203,48,0.08,40,Pickering,2,General,Excellent,0,0,2622,1
202204,202203,48,0.09,10,Toronto,3,Taxes loan,Excellent,0,0,1650,1
202204,202203,48,0.09,20,North York,3,Taxes loan,Excellent,0,0,4382,1
202204,202203,60,0.08,20,North York,2,General,Excellent,0,0,5365,1
202204,202203,60,0.08,30,Missisauga,2,General,Excellent,0,0,8451,3
202204,202203,60,0.09,10,Toronto,3,Taxes loan,Excellent,0,0,9749,1
202204,202203,60,0.1,10,Toronto,4,Travel,Excellent,0,0,3602,1
202204,202203,60,0.1,40,Pickering,4,Travel,Excellent,0,0,9831,1
202204,202204,12,0.08,10,Toronto,2,General,Excellent,5910,1,5910,1
202204,202204,12,0.09,40,Pickering,3,Taxes loan,Excellent,3270,1,3270,1
202204,202204,24,0.05,10,Toronto,1,Education,Excellent,2430,1,2430,1
202204,202204,24,0.05,30,Missisauga,1,Education,Excellent,8470,1,8470,1
202204,202204,24,0.05,50,Whitby,1,Education,Excellent,6690,1,6690,1
202204,202204,24,0.08,20,North York,2,General,Excellent,3960,1,3960,1
202204,202204,24,0.08,40,Pickering,2,General,Excellent,7170,1,7170,1
202204,202204,24,0.08,50,Whitby,2,General,Excellent,4250,1,4250,1
202204,202204,24,0.09,20,North York,3,Taxes loan,Excellent,3260,1,3260,1
202204,202204,24,0.1,50,Whitby,4,Travel,Excellent,1830,1,1830,1
202204,202204,36,0.05,20,North York,1,Education,Excellent,1290,1,1290,1
202204,202204,36,0.08,20,North York,2,General,Excellent,800,1,800,1
202204,202204,36,0.08,50,Whitby,2,General,Excellent,8860,1,8860,1
202204,202204,36,0.09,10,Toronto,3,Taxes loan,Excellent,8650,1,8650,1
202204,202204,36,0.1,50,Whitby,4,Travel,Excellent,3890,1,3890,1
202204,202204,48,0.05,20,North York,1,Education,Excellent,8660,1,8660,1
202204,202204,48,0.08,30,Missisauga,2,General,Excellent,4320,1,4320,1
202204,202204,48,0.08,50,Whitby,2,General,Excellent,16060,2,16060,2
202204,202204,48,0.09,20,North York,3,Taxes loan,Excellent,6530,1,6530,1
202204,202204,48,0.1,20,North York,4,Travel,Excellent,8380,1,8380,1
202204,202204,60,0.05,40,Pickering,1,Education,Excellent,9950,1,9950,1
202204,202204,60,0.05,50,Whitby,1,Education,Excellent,4320,1,4320,1
202204,202204,60,0.08,10,Toronto,2,General,Excellent,7430,2,7430,2
202204,202204,60,0.08,30,Missisauga,2,General,Excellent,2290,1,2290,1
202204,202204,60,0.08,40,Pickering,2,General,Excellent,3510,1,3510,1
202204,202204,60,0.1,40,Pickering,4,Travel,Excellent,3320,2,3320,2
202205,202201,12,0.08,10,Toronto,2,General,Excellent,0,0,1452,1
202205,202201,12,0.09,40,Pickering,3,Taxes loan,Excellent,0,0,4208,1
202205,202201,12,0.1,40,Pickering,4,Travel,Excellent,0,0,6119,1
202205,202201,24,0.05,20,North York,1,Education,Excellent,0,0,2696,1
202205,202201,24,0.05,30,Missisauga,1,Education,Excellent,0,0,6377,1
202205,202201,24,0.08,30,Missisauga,2,General,Excellent,0,0,4533,1
202205,202201,24,0.08,40,Pickering,2,General,Excellent,0,0,7285,1
202205,202201,24,0.1,10,Toronto,4,Travel,Excellent,0,0,3743,1
202205,202201,36,0.08,10,Toronto,2,General,Excellent,0,0,7499,1
202205,202201,36,0.08,30,Missisauga,2,General,Excellent,0,0,621,1
202205,202201,36,0.09,50,Whitby,3,Taxes loan,Excellent,0,0,694,1
202205,202201,36,0.1,10,Toronto,4,Travel,Excellent,0,0,5841,2
202205,202201,48,0.05,40,Pickering,1,Education,Bad debt,0,0,5980,1
202205,202201,48,0.05,40,Pickering,1,Education,Excellent,0,0,3206,1
202205,202201,48,0.05,50,Whitby,1,Education,Excellent,0,0,1709,1
202205,202201,48,0.08,20,North York,2,General,Excellent,0,0,1021,1
202205,202201,48,0.08,30,Missisauga,2,General,Excellent,0,0,8029,2
202205,202201,48,0.09,10,Toronto,3,Taxes loan,Excellent,0,0,3421,1
202205,202201,48,0.1,50,Whitby,4,Travel,Excellent,0,0,4273,1
202205,202201,60,0.05,10,Toronto,1,Education,Excellent,0,0,6604,1
202205,202201,60,0.05,20,North York,1,Education,Excellent,0,0,7987,1
202205,202201,60,0.05,30,Missisauga,1,Education,Excellent,0,0,10913,2
202205,202201,60,0.08,20,North York,2,General,Bad debt,0,0,6740,1
202205,202201,60,0.08,20,North York,2,General,Excellent,0,0,642,1
202205,202201,60,0.1,20,North York,4,Travel,Excellent,0,0,6311,1
202205,202202,12,0.05,40,Pickering,1,Education,Excellent,0,0,1154,1
202205,202202,12,0.08,30,Missisauga,2,General,Excellent,0,0,5491,1
202205,202202,12,0.08,40,Pickering,2,General,Excellent,0,0,7195,1
202205,202202,24,0.05,10,Toronto,1,Education,Excellent,0,0,4542,1
202205,202202,24,0.05,20,North York,1,Education,Excellent,0,0,2526,2
202205,202202,24,0.05,40,Pickering,1,Education,Excellent,0,0,5942,1
202205,202202,24,0.08,30,Missisauga,2,General,Excellent,0,0,1104,1
202205,202202,24,0.08,40,Pickering,2,General,Excellent,0,0,3463,1
202205,202202,24,0.08,50,Whitby,2,General,Doubtful 31-40,0,0,4836,1
202205,202202,24,0.08,50,Whitby,2,General,Excellent,0,0,1051,1
202205,202202,24,0.09,40,Pickering,3,Taxes loan,Excellent,0,0,3954,1
202205,202202,24,0.09,50,Whitby,3,Taxes loan,Excellent,0,0,6315,1
202205,202202,36,0.08,20,North York,2,General,Excellent,0,0,6709,1
202205,202202,36,0.09,20,North York,3,Taxes loan,Excellent,0,0,5374,1
202205,202202,48,0.05,20,North York,1,Education,Excellent,0,0,2461,1
202205,202202,48,0.05,30,Missisauga,1,Education,Excellent,0,0,1311,1
202205,202202,48,0.09,20,North York,3,Taxes loan,Excellent,0,0,3088,1
202205,202202,48,0.1,10,Toronto,4,Travel,Excellent,0,0,6335,1
202205,202202,60,0.05,10,Toronto,1,Education,Excellent,0,0,3889,1
202205,202202,60,0.08,30,Missisauga,2,General,Excellent,0,0,2099,1
202205,202202,60,0.08,40,Pickering,2,General,Excellent,0,0,6309,1
202205,202202,60,0.09,40,Pickering,3,Taxes loan,Excellent,0,0,2390,1
202205,202202,60,0.09,50,Whitby,3,Taxes loan,Excellent,0,0,4233,1
202205,202203,12,0.08,10,Toronto,2,General,Excellent,0,0,5058,1
202205,202203,12,0.08,20,North York,2,General,Doubtful 41-50,0,0,2420,1
202205,202203,12,0.08,30,Missisauga,2,General,Doubtful 41-50,0,0,2700,1
202205,202203,12,0.08,30,Missisauga,2,General,Excellent,0,0,7247,1
202205,202203,12,0.08,50,Whitby,2,General,Excellent,0,0,7037,1
202205,202203,12,0.09,10,Toronto,3,Taxes loan,Excellent,0,0,6850,1
202205,202203,12,0.09,30,Missisauga,3,Taxes loan,Doubtful 41-50,0,0,3930,1
202205,202203,24,0.05,20,North York,1,Education,Excellent,0,0,9986,2
202205,202203,24,0.05,30,Missisauga,1,Education,Excellent,0,0,5034,1
202205,202203,24,0.05,40,Pickering,1,Education,Excellent,0,0,1730,1
202205,202203,24,0.08,10,Toronto,2,General,Excellent,0,0,5960,1
202205,202203,24,0.08,20,North York,2,General,Excellent,0,0,13358,2
202205,202203,24,0.08,40,Pickering,2,General,Excellent,0,0,11984,2
202205,202203,24,0.09,20,North York,3,Taxes loan,Excellent,0,0,7359,1
202205,202203,24,0.09,50,Whitby,3,Taxes loan,Excellent,0,0,18816,3
202205,202203,36,0.05,20,North York,1,Education,Doubtful 31-40,0,0,7250,1
202205,202203,36,0.05,50,Whitby,1,Education,Excellent,0,0,7112,1
202205,202203,36,0.09,10,Toronto,3,Taxes loan,Excellent,0,0,4708,1
202205,202203,36,0.09,30,Missisauga,3,Taxes loan,Doubtful 41-50,0,0,4130,1
202205,202203,36,0.09,30,Missisauga,3,Taxes loan,Excellent,0,0,7619,1
202205,202203,48,0.05,30,Missisauga,1,Education,Excellent,0,0,1510,1
202205,202203,48,0.08,40,Pickering,2,General,Excellent,0,0,2574,1
202205,202203,48,0.09,10,Toronto,3,Taxes loan,Excellent,0,0,1621,1
202205,202203,48,0.09,20,North York,3,Taxes loan,Excellent,0,0,4304,1
202205,202203,60,0.08,20,North York,2,General,Excellent,0,0,5291,1
202205,202203,60,0.08,30,Missisauga,2,General,Excellent,0,0,8334,3
202205,202203,60,0.09,10,Toronto,3,Taxes loan,Regular,0,0,9749,1
202205,202203,60,0.1,10,Toronto,4,Travel,Excellent,0,0,3555,1
202205,202203,60,0.1,40,Pickering,4,Travel,Excellent,0,0,9701,1
202205,202204,12,0.08,10,Toronto,2,General,Excellent,0,0,5435,1
202205,202204,12,0.09,40,Pickering,3,Taxes loan,Excellent,0,0,3008,1
202205,202204,24,0.05,10,Toronto,1,Education,Excellent,0,0,2333,1
202205,202204,24,0.05,30,Missisauga,1,Education,Excellent,0,0,8133,1
202205,202204,24,0.05,50,Whitby,1,Education,Excellent,0,0,6424,1
202205,202204,24,0.08,20,North York,2,General,Excellent,0,0,3807,1
202205,202204,24,0.08,40,Pickering,2,General,Excellent,0,0,6893,1
202205,202204,24,0.08,50,Whitby,2,General,Excellent,0,0,3922,1
202205,202204,24,0.09,20,North York,3,Taxes loan,Excellent,0,0,3135,1
202205,202204,24,0.1,50,Whitby,4,Travel,Excellent,0,0,1760,1
202205,202204,36,0.05,20,North York,1,Education,Excellent,0,0,1256,1
202205,202204,36,0.08,20,North York,2,General,Excellent,0,0,780,1
202205,202204,36,0.08,50,Whitby,2,General,Excellent,0,0,8641,1
202205,202204,36,0.09,10,Toronto,3,Taxes loan,Regular,0,0,8650,1
202205,202204,36,0.1,50,Whitby,4,Travel,Excellent,0,0,3796,1
202205,202204,48,0.05,20,North York,1,Education,Regular,0,0,8660,1
202205,202204,48,0.08,30,Missisauga,2,General,Excellent,0,0,4243,1
202205,202204,48,0.08,50,Whitby,2,General,Excellent,0,0,8074,1
202205,202204,48,0.08,50,Whitby,2,General,Regular,0,0,7840,1
202205,202204,48,0.09,20,North York,3,Taxes loan,Excellent,0,0,6416,1
202205,202204,48,0.1,20,North York,4,Travel,Excellent,0,0,8237,1
202205,202204,60,0.05,40,Pickering,1,Education,Excellent,0,0,9803,1
202205,202204,60,0.05,50,Whitby,1,Education,Excellent,0,0,4256,1
202205,202204,60,0.08,10,Toronto,2,General,Excellent,0,0,7328,2
202205,202204,60,0.08,30,Missisauga,2,General,Excellent,0,0,2258,1
202205,202204,60,0.08,40,Pickering,2,General,Excellent,0,0,3462,1
202205,202204,60,0.1,40,Pickering,4,Travel,Excellent,0,0,3276,2
202205,202205,12,0.05,20,North York,1,Education,Excellent,1150,1,1150,1
202205,202205,12,0.05,30,Missisauga,1,Education,Excellent,2370,1,2370,1
202205,202205,12,0.05,50,Whitby,1,Education,Excellent,6350,2,6350,2
202205,202205,12,0.08,40,Pickering,2,General,Excellent,12980,2,12980,2
202205,202205,24,0.08,10,Toronto,2,General,Excellent,2400,1,2400,1
202205,202205,24,0.08,20,North York,2,General,Excellent,7480,1,7480,1
202205,202205,24,0.08,50,Whitby,2,General,Excellent,6080,1,6080,1
